Generador,Escenario,UC,PG_0,RES_UP,RES_DN
Pehuenche,Seco.Dmedia,0,0,0,0
Angostura,Seco.Dmedia,1,20.45391786,0,0
Machicura,Seco.Dmedia,0,0,0,0
Cipreses,Seco.Dmedia,1,0,0,0
Pangue,Seco.Dmedia,0,0,0,0
Rapel,Seco.Dmedia,1,0,0,0
Ralco,Seco.Dmedia,0,0,0,0
Antuco,Seco.Dmedia,0,0,0,0
Canutillar,Seco.Dmedia,0,0,0,0
El_Toro,Seco.Dmedia,1,0,0,0
Colbun,Seco.Dmedia,0,0,0,0
Los_Condores,Seco.Dmin,1,0,0,0
Pehuenche,Seco.Dmin,0,0,0,0
Angostura,Seco.Dmin,0,0,0,0
Machicura,Seco.Dmin,0,0,0,0
Cipreses,Seco.Dmin,1,0,0,0
Pangue,Seco.Dmin,0,0,0,0
Rapel,Seco.Dmin,1,0,0,0
Ralco,Seco.Dmin,0,0,0,0
Antuco,Seco.Dmin,0,0,0,0
Canutillar,Seco.Dmin,0,0,0,0
El_Toro,Seco.Dmin,1,0,0,0
Colbun,Seco.Dmin,0,0,0,0
Eolico_SING_Centro,Humedo.Dmax,1,44.45,0,0
Eolico-SIC_CentroNorte,Humedo.Dmax,1,199.075,0,0
Eolico-SIC_Centro,Humedo.Dmax,1,105.5,0,0
Eolico_SIC_Sur,Humedo.Dmax,1,62,0,0
Eolico_SIC_CentroSurC,Humedo.Dmax,1,28.5,0,0
Eolico_SIC_Norte,Humedo.Dmax,1,0,0,0
Eolico_SING_Centro,Humedo.Dmedia,1,44.45,0,0
Eolico-SIC_CentroNorte,Humedo.Dmedia,1,199.075,0,0
Eolico-SIC_Centro,Humedo.Dmedia,1,105.5,0,0
Eolico_SIC_Sur,Humedo.Dmedia,1,62,0,0
Eolico_SIC_CentroSurC,Humedo.Dmedia,1,25.41204905,0,0
Eolico_SIC_Norte,Humedo.Dmedia,1,49.5,0,0
Eolico_SING_Centro,Humedo.Dmin,1,44.45,0,0
Eolico-SIC_CentroNorte,Humedo.Dmin,1,199.075,0,0
Eolico-SIC_Centro,Humedo.Dmin,1,105.5,0,0
Eolico_SIC_Sur,Humedo.Dmin,1,62,0,0
Eolico_SIC_CentroSurC,Humedo.Dmin,1,28.5,0,0
Eolico_SIC_Norte,Humedo.Dmin,1,49.5,0,0
Eolico_SING_Centro,Medio.Dmax,1,44.45,0,0
Eolico-SIC_CentroNorte,Medio.Dmax,1,199.075,0,0
Eolico-SIC_Centro,Medio.Dmax,1,105.5,0,0
Eolico_SIC_Sur,Medio.Dmax,1,62,0,0
Eolico_SIC_CentroSurC,Medio.Dmax,1,28.5,0,0
Eolico_SIC_Norte,Medio.Dmax,1,49.5,0,0
Eolico_SING_Centro,Medio.Dmedia,1,44.45,0,0
Eolico-SIC_CentroNorte,Medio.Dmedia,1,199.075,0,0
Eolico-SIC_Centro,Medio.Dmedia,1,105.5,0,0
Eolico_SIC_Sur,Medio.Dmedia,1,62,0,0
Eolico_SIC_CentroSurC,Medio.Dmedia,1,28.5,0,0
Eolico_SIC_Norte,Medio.Dmedia,1,49.5,0,0
